Previsão,Real
3060.774742721768,2750.0
5985.029136886111,5286.0
4736.871773523282,10400.0
3025.113103768544,1184.0
4237.60882817815,11100.0
2525.8501584234123,4300.0
2169.2337688911753,2000.0
1883.9406572653857,1300.0
5236.134718868414,6500.0
3524.376049113676,2800.0
3060.774742721768,4650.0
2846.8049090024256,2900.0
4166.285550271703,3000.0
7161.863222342494,12000.0
3239.0829374878863,2500.0
6270.3222485119,9800.0
3239.0829374878863,2600.0
2632.8350752830834,1900.0
2704.1583531895308,1400.0
2062.248852031504,1362.0
2026.5872130782805,5800.0
1562.9859066863723,2400.0
2276.2186857508464,1790.0
2668.496714236307,2800.0
2989.4514648153204,2675.0
2525.8501584234123,2500.0
1883.9406572653857,2750.0
2989.4514648153204,1900.0
1776.9557404057146,1113.0
4166.285550271703,2600.0
3310.4062153943337,4700.0
2418.865241563741,2500.0
2561.511797376636,2200.0
9800.824504881048,4920.0
2490.1885194701886,5962.0
3595.6993270201233,3600.0
2204.895407844399,1250.0
2490.1885194701886,1800.0
2597.1734363298597,1600.0
1562.9859066863723,1325.0
2704.1583531895308,1000.0
3167.759659581439,2165.0
5557.089469447426,2496.0
2704.1583531895308,1550.0
4843.856690382952,3800.0
4665.548495616835,5500.0
4023.6389944588077,4500.0
3239.0829374878863,3500.0
2597.1734363298597,1300.0
3738.345882833018,2400.0
4237.60882817815,6850.0
2918.128186908873,1355.0
3203.4212985346626,3400.0
2525.8501584234123,1600.0
2169.2337688911753,3200.0
11441.259896729338,5625.0
2169.2337688911753,1250.0
3667.0226049265707,6000.0
3417.391132254005,2400.0
1741.2941014524908,1300.0
2561.511797376636,1580.0
2561.511797376636,2800.0
3025.113103768544,1994.0
2347.5419636572938,2150.0
4522.90193980394,3700.0
4273.270467131373,3000.0
2882.4665479556493,3000.0
3595.6993270201233,4200.0
2704.1583531895308,2300.0
5271.796357821637,7500.0
2882.4665479556493,1932.0
7340.171417108611,8250.0
5093.488163055519,6500.0
2704.1583531895308,3899.0
3952.3157165523603,1900.0
3239.0829374878863,5500.0
2240.5570467976227,2620.0
3417.391132254005,3700.0
2240.5570467976227,4654.0
7803.77272350052,4000.0
3845.330799692689,5950.0
2704.1583531895308,3200.0
2525.8501584234123,4000.0
3595.6993270201233,3500.0
3060.774742721768,2230.0
3239.0829374878863,9000.0
3346.0678543475574,2100.0
4415.917022944268,4500.0
2454.526880516965,1550.0
3132.098020628215,4900.0
2133.5721299379516,3760.0
2097.910490984728,3500.0
9658.177949068153,5992.0
3132.098020628215,4000.0
1990.9255741250568,950.0
3203.4212985346626,2640.0
3096.4363816749915,5330.0
3667.0226049265707,3800.0
1919.6022962186094,2150.0
1812.6173793589383,4100.0
2597.1734363298597,1350.0
3595.6993270201233,4500.0
2525.8501584234123,1890.0
1776.9557404057146,2000.0
3346.0678543475574,1747.0
11227.290063009996,8250.0
2561.511797376636,1180.0
2454.526880516965,1475.0
3203.4212985346626,2250.0
11298.613340916443,12000.0
2775.481631095978,4000.0
3060.774742721768,1550.0
1776.9557404057146,1460.0
2882.4665479556493,1950.0
7161.863222342494,4330.0
2347.5419636572938,1490.0
3167.759659581439,2300.0
5735.397664213546,8750.0
3310.4062153943337,6700.0
3239.0829374878863,7000.0
4380.255383991045,5750.0
3167.759659581439,2800.0
2169.2337688911753,1800.0
3025.113103768544,3200.0
6448.63044327802,4600.0
2953.7898258620967,1569.0
2525.8501584234123,1670.0
2204.895407844399,2650.0
2169.2337688911753,1800.0
2240.5570467976227,2800.0
2454.526880516965,1600.0
2169.2337688911753,1300.0
3453.0527712072285,2300.0
4023.6389944588077,4000.0
5378.781274681309,6300.0
2739.8199921427545,1100.0
11797.876286261575,4600.0
2525.8501584234123,2657.0
5022.164885149072,12500.0
2276.2186857508464,1600.0
3774.007521786242,2595.0
2525.8501584234123,3500.0
3060.774742721768,1800.0
2739.8199921427545,4600.0
2739.8199921427545,1600.0
3738.345882833018,1600.0
3060.774742721768,1280.0
2882.4665479556493,2200.0
2311.88032470407,1500.0
2204.895407844399,2000.0
4665.548495616835,2950.0
1990.9255741250568,4690.0
6876.570110716704,6562.0
2347.5419636572938,1865.0
2311.88032470407,1280.0
6056.352414792558,13000.0
6092.014053745783,2500.0
7982.080918266638,10000.0
2989.4514648153204,3060.0
2383.2036026105175,1150.0
4594.225217710387,4500.0
1456.0009898267012,4700.0
2846.8049090024256,3000.0
2525.8501584234123,1732.0
1705.6324624992671,1950.0
2347.5419636572938,2400.0
3167.759659581439,2500.0
1634.3091845928197,1500.0
10728.027117664864,11250.0
2632.8350752830834,4100.0
4308.932106084598,2950.0
2953.7898258620967,1650.0
2668.496714236307,1550.0
20998.57913619329,13500.0
3952.3157165523603,3375.0
2739.8199921427545,5250.0
2347.5419636572938,2000.0
3845.330799692689,4360.0
3453.0527712072285,4200.0
2704.1583531895308,2200.0
2311.88032470407,1540.0
2525.8501584234123,1350.0
2383.2036026105175,1260.0
5022.164885149072,3350.0
5307.457996774861,8000.0
2418.865241563741,3500.0
4023.6389944588077,4200.0
3987.977355505584,1900.0
2632.8350752830834,4000.0
2811.143270049202,2390.0
2490.1885194701886,3200.0
2953.7898258620967,2600.0
1812.6173793589383,1050.0
2169.2337688911753,1850.0
2347.5419636572938,2050.0
3738.345882833018,5000.0
2311.88032470407,1900.0
3488.714410160452,10000.0
3346.0678543475574,2200.0
5378.781274681309,2900.0
11619.568091495457,14530.0
3239.0829374878863,2000.0
6876.570110716704,12000.0
2311.88032470407,1100.0
2739.8199921427545,2300.0
2525.8501584234123,1365.0
3667.0226049265707,2757.0
5735.397664213546,5000.0
2418.865241563741,9800.0
2704.1583531895308,2400.0
3310.4062153943337,2500.0
2454.526880516965,1560.0
5913.705858979663,6350.0
4665.548495616835,4320.0
1634.3091845928197,1300.0
3381.729493300781,4000.0
1883.9406572653857,1521.0
1634.3091845928197,3550.0
1848.279018312162,2962.0
4665.548495616835,6500.0
6733.923554903809,12500.0
2240.5570467976227,1280.0
3025.113103768544,2600.0
2704.1583531895308,1300.0
2311.88032470407,1200.0
3381.729493300781,3000.0
3167.759659581439,1720.0
1919.6022962186094,1745.0
2882.4665479556493,6500.0
1919.6022962186094,1275.0
2347.5419636572938,1650.0
2490.1885194701886,1650.0
2525.8501584234123,1400.0
2311.88032470407,2600.0
1955.263935171833,900.0
2204.895407844399,1500.0
2026.5872130782805,1900.0
3096.4363816749915,6040.0
1990.9255741250568,5000.0
2704.1583531895308,2570.0
3025.113103768544,4500.0
