Previsão,Real
2753.9597825269266,2750.0
5179.566354225208,5286.0
4092.028344116996,10400.0
2276.615633379414,1184.0
4873.488420380301,11100.0
3058.0757096427196,4300.0
2301.0789293245234,2000.0
1728.5668015677552,1300.0
5743.518828466871,6500.0
3035.562848583304,2800.0
3848.09543942113,4650.0
2891.45670624041,2900.0
4041.139745497663,3000.0
6528.891346344984,12000.0
2786.982731987141,2500.0
6522.2821277155745,9800.0
2786.982731987141,2600.0
2705.021618793288,1900.0
2767.1666479423284,1400.0
1437.6577398673642,1362.0
1406.5852252928437,5800.0
1448.914170397072,2400.0
2840.568107621077,1790.0
2412.1621222072026,2800.0
2569.4751299654986,2675.0
3058.0757096427196,2500.0
1728.5668015677552,2750.0
3015.7467645384913,1900.0
1635.3492578441942,1113.0
3270.936099764065,2600.0
4065.603041442773,4700.0
2518.5865313461654,2500.0
2642.8765896442474,2200.0
10814.93635089968,4920.0
3027.003195068199,5962.0
4314.183158038935,3600.0
1561.9477981654454,1250.0
2580.7315604952064,1800.0
2673.9491042187674,1600.0
1448.914170397072,1325.0
2443.2346367817236,1000.0
2724.8377028381,2165.0
4036.492533597366,2496.0
1996.9630022087304,1550.0
4955.449533574155,3800.0
5246.358595274546,5500.0
3916.8496871995817,4500.0
3233.254366560134,3500.0
2673.9491042187674,1300.0
3668.2695706034187,2400.0
4873.488420380301,6850.0
3399.873369962443,1355.0
2755.9102174126206,3400.0
2611.804075069727,1600.0
2747.3505638975157,3200.0
11027.796741021026,5625.0
2747.3505638975157,1250.0
4376.328187187975,6000.0
3388.6169394327358,2400.0
1604.2767432696737,1300.0
3413.080235377845,1580.0
2642.8765896442474,2800.0
3046.819279113012,1994.0
2456.441502197125,2150.0
5446.00054813707,3700.0
3364.153643487626,3000.0
2476.257586241937,3000.0
4314.183158038935,4200.0
2443.2346367817236,2300.0
6098.523354201998,7500.0
2922.5292208149303,1932.0
5914.050273483988,8250.0
5619.228770168789,6500.0
2443.2346367817236,3899.0
3084.501012316943,1900.0
3557.186377720739,5500.0
2363.223958473564,2620.0
3712.5489505933406,3700.0
2809.4955930465567,4654.0
7858.40025441995,4000.0
4085.419125487585,5950.0
1996.9630022087304,3200.0
2611.804075069727,4000.0
3543.9795123053373,3500.0
3077.8917936875323,2230.0
3233.254366560134,9000.0
4096.675556017293,2100.0
3812.3757129463124,4500.0
2549.659045920686,1550.0
3140.036822836573,4900.0
2716.2780493229957,3760.0
2685.205534748475,3500.0
10244.374658028606,5992.0
3910.240468570171,4000.0
1821.7843452913162,950.0
2755.9102174126206,2640.0
3432.8963194226576,5330.0
3930.0565526149835,3800.0
1759.6393161422754,2150.0
2436.6254181523127,4100.0
2673.9491042187674,1350.0
3990.25114687833,4500.0
2611.804075069727,1890.0
1635.3492578441942,2000.0
2880.200275710702,1747.0
12381.768945041098,8250.0
2642.8765896442474,1180.0
2995.9306804936787,1475.0
3202.1818519856133,2250.0
11349.778317295937,12000.0
2829.3116770913693,4000.0
2307.6881479539343,1550.0
2405.552903577792,1460.0
2922.5292208149303,1950.0
6975.162980917978,4330.0
2456.441502197125,1490.0
3171.1093374110933,2300.0
5732.262397937164,8750.0
4065.603041442773,6700.0
3679.5260011331266,7000.0
4551.50684410539,5750.0
3171.1093374110933,2800.0
1977.146918163918,1800.0
2600.547644540019,3200.0
5907.441054854578,4600.0
2214.4706042303733,1569.0
2611.804075069727,1670.0
2332.1514438990434,2650.0
1977.146918163918,1800.0
2809.4955930465567,2800.0
2549.659045920686,1600.0
1977.146918163918,1300.0
2203.214173700665,2300.0
2700.374406892991,4000.0
6191.740897925558,6300.0
2798.239162516849,1100.0
10244.386229872025,4600.0
3058.0757096427196,2657.0
4340.608460713159,12500.0
1624.0928273144862,1600.0
2482.866804871348,2595.0
3058.0757096427196,3500.0
3077.8917936875323,1800.0
2028.0355167832508,4600.0
2798.239162516849,1600.0
3344.3375594428135,1600.0
3077.8917936875323,1280.0
2922.5292208149303,2200.0
2425.3689876226044,1500.0
2778.423078472036,2000.0
4800.086960701554,2950.0
2591.987991024914,4690.0
5956.379218588218,6562.0
1686.237856463527,1865.0
2871.6406221955976,1280.0
6011.915029107848,13000.0
4502.580252215172,2500.0
9230.238107599142,10000.0
3015.7467645384913,3060.0
2487.5140167716454,1150.0
4737.941931552512,4500.0
1355.6966266735108,4700.0
3337.728340813403,3000.0
2611.804075069727,1732.0
2343.4078744287513,1950.0
2132.5094910365196,2400.0
3171.1093374110933,2500.0
2281.2628452797107,1500.0
11622.82172983721,11250.0
3151.2932533662806,4100.0
4489.36181495635,2950.0
2538.402615390978,1650.0
3182.3657679408007,1550.0
20125.43429272608,13500.0
3084.501012316943,3375.0
2798.239162516849,5250.0
2456.441502197125,2000.0
3761.4871143269797,4360.0
2973.417819434263,4200.0
1996.9630022087304,2200.0
2101.4369764619996,1540.0
2611.804075069727,1350.0
2487.5140167716454,1260.0
4786.880095286151,3350.0
5805.663857615913,8000.0
2194.6545201855606,3500.0
3916.8496871995817,4200.0
3885.777172625061,1900.0
3151.2932533662806,4000.0
2414.1125570928966,2390.0
2580.7315604952064,3200.0
3430.945884536964,2600.0
1666.4217724187145,1050.0
1530.8752835909252,1850.0
2902.7131367701177,2050.0
4438.473216337017,5000.0
2101.4369764619996,1900.0
3450.7619685817763,10000.0
2880.200275710702,2200.0
6191.740897925558,2900.0
11953.362959627226,14530.0
3233.254366560134,2000.0
5510.107584015224,12000.0
2101.4369764619996,1100.0
3244.5107970898416,2300.0
2611.804075069727,1365.0
3606.124541454378,2757.0
6502.466043670762,5000.0
2964.8581659191586,9800.0
2767.1666479423284,2400.0
2525.1957499755763,2500.0
2549.659045920686,1560.0
5441.3533362367725,6350.0
4029.8833149679554,4320.0
1511.0591995461127,1300.0
3681.4764360188206,4000.0
1282.2951669947624,1521.0
1511.0591995461127,3550.0
1697.4942869932347,2962.0
4029.8833149679554,6500.0
6926.2248171843385,12500.0
2363.223958473564,1280.0
3046.819279113012,2600.0
2767.1666479423284,1300.0
1655.1653418890066,1200.0
3357.5444248582153,3000.0
2724.8377028381,1720.0
1759.6393161422754,1745.0
3246.4612319755356,6500.0
1759.6393161422754,1275.0
2456.441502197125,1650.0
2580.7315604952064,1650.0
2611.804075069727,1400.0
2871.6406221955976,2600.0
1790.7118307167957,900.0
1561.9477981654454,1500.0
2176.7888710264415,1900.0
3555.235942835045,6040.0
2591.987991024914,5000.0
2767.1666479423284,2570.0
3046.819279113012,4500.0
3817.02292484661,3000.0
2829.3116770913693,3500.0
4811.343391231261,4100.0
10379.921146856395,15000.0
2860.3841916658894,1700.0
3817.02292484661,2235.0
6968.553762288568,3100.0
5048.667077297716,8800.0
7217.13387888473,11000.0
3182.3657679408007,2200.0
4924.377018999634,3250.0
2598.597209654325,2100.0
2132.5094910365196,1200.0
3313.2650448682934,2000.0
17850.53151015668,10000.0
5359.39222304292,3900.0
2922.5292208149303,1600.0
3046.819279113012,3300.0
2798.239162516849,3000.0
5689.933452832935,4800.0
3388.6169394327358,1700.0
1593.020312739966,1300.0
2767.1666479423284,2200.0
2301.0789293245234,1700.0
1313.3676815692827,3150.0
1511.0591995461127,1150.0
2767.1666479423284,3200.0
1666.4217724187145,1500.0
3077.8917936875323,4000.0
2591.987991024914,2500.0
2747.3505638975157,1150.0
9609.717501122797,11030.0
3817.02292484661,4600.0
1511.0591995461127,2650.0
2623.0605055994347,3600.0
3879.1679539956504,2500.0
5066.532726456835,7500.0
1282.2951669947624,1200.0
2747.3505638975157,2006.0
3195.5726333562025,3200.0
2767.1666479423284,2700.0
2487.5140167716454,1612.0
4029.8833149679554,3230.0
2747.3505638975157,3300.0
4449.729646866725,5000.0
3408.433023477548,6780.0
2287.8720639091216,2190.0
2902.7131367701177,2600.0
3233.254366560134,1700.0
1593.020312739966,2600.0
2456.441502197125,1785.0
3233.254366560134,2700.0
9023.986936107207,8500.0
1406.5852252928437,2200.0
8122.1492431606275,8000.0
6528.891346344984,8500.0
2767.1666479423284,2125.0
2929.138439444341,1785.0
2964.8581659191586,4000.0
6664.437835172774,9135.0
2560.9154764503937,2340.0
2736.0941333678084,1184.0
1759.6393161422754,2420.0
2194.6545201855606,1600.0
2132.5094910365196,1400.0
3077.8917936875323,7500.0
4427.216785807309,2442.0
1821.7843452913162,2960.0
3171.1093374110933,3500.0
5122.068536976465,4360.0
2840.568107621077,1976.0
2580.7315604952064,1460.0
2518.5865313461654,2300.0
2922.5292208149303,6500.0
1666.4217724187145,1100.0
3388.6169394327358,2500.0
2673.9491042187674,3200.0
1686.237856463527,1327.0
6204.95933518438,4300.0
2225.7270347600806,1800.0
2922.5292208149303,4000.0
2600.547644540019,1450.0
4147.564154636626,3000.0
3972.385497719212,2800.0
3233.254366560134,2200.0
4165.429803795745,1690.0
2487.5140167716454,1000.0
2860.3841916658894,1200.0
4240.781698360186,3300.0
2591.987991024914,2670.0
3058.0757096427196,3150.0
2798.239162516849,1800.0
2207.8613856009624,1400.0
3823.6321434760207,3700.0
2705.021618793288,1300.0
1946.0744035893977,3100.0
2549.659045920686,2500.0
3941.312983144691,2730.0
2039.2919473129587,4250.0
2132.5094910365196,1479.0
5583.509043693974,10500.0
2600.547644540019,2500.0
2973.417819434263,2700.0
6065.500404741782,3500.0
2747.3505638975157,2200.0
1728.5668015677552,1600.0
1666.4217724187145,1250.0
2767.1666479423284,2000.0
3077.8917936875323,7000.0
4469.545730911537,1999.0
2964.8581659191586,4500.0
1728.5668015677552,4350.0
3874.5207420953534,10840.0
3084.501012316943,2450.0
4178.636669211146,2200.0
2611.804075069727,1912.0
2642.8765896442474,1498.0
2525.1957499755763,2200.0
2456.441502197125,2000.0
12617.142196221861,15000.0
1996.9630022087304,2392.0
1655.1653418890066,4000.0
1821.7843452913162,950.0
10728.32802580553,7500.0
1977.146918163918,950.0
4520.43432953087,3500.0
1728.5668015677552,1300.0
3699.342085177939,4200.0
2529.8429618758737,1600.0
1821.7843452913162,1400.0
1344.440196143803,2000.0
4189.893099740853,3500.0
2456.441502197125,1100.0
2871.6406221955976,3100.0
2487.5140167716454,1650.0
2580.7315604952064,4100.0
3368.800855387923,4600.0
2618.4132936991373,1980.0
3295.3993957091748,2240.0
3823.6321434760207,2264.0
3719.1581692227514,7270.0
8473.241327280946,12500.0
3333.0811289131057,2600.0
5867.808886764953,6500.0
8752.893958451628,10000.0
1996.9630022087304,1996.0
2611.804075069727,985.0
1686.237856463527,2130.0
1841.6004293361289,3280.0
2350.017093058162,1749.0
5725.653179307752,6900.0
2922.5292208149303,3000.0
3990.25114687833,4200.0
2549.659045920686,1460.0
4769.014446127033,7000.0
2693.76518826358,4000.0
2560.9154764503937,2799.0
1635.3492578441942,820.0
2964.8581659191586,4100.0
2276.615633379414,2600.0
2518.5865313461654,2195.0
1977.146918163918,1150.0
5725.653179307752,4935.0
2767.1666479423284,1800.0
3120.22073879176,2200.0
3450.7619685817763,2800.0
6664.437835172774,4500.0
2991.283468593382,2200.0
3998.810800393435,11150.0
2953.6017353894504,4900.0
2891.45670624041,2825.0
3463.968833997178,3800.0
6739.7897297372165,8000.0
2623.0605055994347,2200.0
1977.146918163918,1150.0
3140.036822836573,3400.0
3792.5596289015,3000.0
2922.5292208149303,1950.0
2287.8720639091216,1617.0
2809.4955930465567,2300.0
8042.884906981379,3000.0
2798.239162516849,1900.0
2960.2109540188612,1600.0
2736.0941333678084,1800.0
3898.9840380404626,2800.0
3848.09543942113,4000.0
1437.6577398673642,1690.0
3058.0757096427196,2400.0
1977.146918163918,4000.0
2747.3505638975157,2700.0
