Previsão,Real
1783.5392993859703,1275.0
3950.0882822853623,3800.0
2216.8490959658484,2200.0
8902.200243198258,7500.0
3702.4826842397174,3740.0
3021.567289614194,2400.0
2402.5532945000823,1100.0
2123.996996698732,1985.0
5095.26417324647,7000.0
1319.2788030503862,1000.0
15711.35418945349,12000.0
5033.362773735059,4000.0
1474.0323018289141,800.0
1474.0323018289141,1312.0
3485.8277859497784,2650.0
3640.5812847283064,1510.0
2247.799795721554,880.0
1319.2788030503862,1450.0
2712.060292057138,3880.0
5652.376768849171,1200.0
1783.5392993859703,1375.0
7973.6792505270905,9300.0
1783.5392993859703,2350.0
4569.102277399475,4990.0
2093.0462969430264,1500.0
1783.5392993859703,1200.0
2402.5532945000823,1900.0
1845.4406988973815,2130.0
2402.5532945000823,3800.0
916.9197062262133,777.0
7354.665255412979,5000.0
2093.0462969430264,1800.0
1628.785800607442,1530.0
5807.130267627698,3800.0
4878.6092749565305,12000.0
2216.8490959658484,2415.0
1628.785800607442,1200.0
3547.7291854611894,5400.0
2402.5532945000823,2000.0
5311.919071536409,4507.0
1783.5392993859703,1350.0
9830.721235869427,5500.0
4104.84178106389,4200.0
13544.805206554098,14110.0
3981.038982041068,3550.0
9521.214238312372,15000.0
3331.0742871712505,1489.0
1226.4267037832692,1550.0
1412.130902317503,1800.0
2402.5532945000823,1220.0
2866.813790835666,3800.0
1164.5253042718582,1220.0
2093.0462969430264,2600.0
2557.3067932786103,1450.0
1443.0816020732086,1462.0
1474.0323018289141,1300.0
1783.5392993859703,2000.0
1381.1802025617974,1400.0
7509.418754191507,9500.0
2402.5532945000823,2200.0
1628.785800607442,1210.0
16949.382179681714,15000.0
1535.9337013403253,1500.0
1164.5253042718582,1200.0
1474.0323018289141,1350.0
1102.6239047604467,950.0
11687.763221211764,14060.0
4445.299478376652,2800.0
4104.84178106389,1500.0
6797.552659810278,3650.0
10759.242228540596,15000.0
1535.9337013403253,2200.0
